784950.09537382,4081388.87878199
784981.84543734,4080750.34972715
784819.56733500,4080454.01580114
784542.63622557,4080293.50159123
784405.05261706,4080120.64013439
784152.81600148,4079968.94538656
783801.80141056,4079900.15358232
783318.49488842,4079923.08418373
783052.14713349,4079967.18149414
782925.14687948,4080050.08443773
782745.22985298,4080147.09852065
782279.56225499,4080316.43219265
782279.56225499,4081219.54510998
782579.42396583,4081154.28109057
782999.23036098,4081039.62808347
783325.55045807,4080875.58608873
783715.37068217,4080917.91950673
784170.45492565,4080953.19735507
784382.12201565,4081078.43371665
784683.74761890,4081314.79530048
784950.09537382,4081388.87878199
