935426.94967488,4179714.50191393,935426.949675,4179714.501910
934358.03087039,4179661.58514143,934358.030870,4179661.585140
934612.03137840,4180039.94006481,934612.031378,4180039.940060
934421.53099738,4180320.39895907,934421.530997,4180320.398960
934032.59271950,4180852.21252269,934032.592719,4180852.212520
933873.84240199,4181243.79663919,933873.842402,4181243.796640
933910.88414276,4181638.02659431,933910.884143,4181638.026590
934167.53048939,4181955.52722932,934167.530489,4181955.527230
934969.21959275,4181989.92313144,934969.219593,4181989.923130
934818.40679112,4181661.83914194,934818.406791,4181661.839140
934654.36479638,4181331.10931382,934654.364796,4181331.109310
934688.76069851,4181000.37948568,934688.760699,4181000.379490
935244.38680977,4180730.50394594,935244.386810,4180730.503950
935434.88719075,4180584.98282156,935434.887191,4180584.982820
935535.42905851,4180402.41995644,935535.429059,4180402.419960
935553.94992887,4180087.56516006,935553.949929,4180087.565160
935426.94967488,4179714.50191393,935426.949675,4179714.501910
